date,code,rank,brand,product,price,like
20260323,8934874,128,옵티젠,"""맛있는 비타민구미 산리오 구미덕"" 멀티비타민&미네랄 구미덕 젤리 3가지맛을 한번에! (80구미)",20000,7521
20260323,12493570,129,경남제약,"[쇼핑백 증정] ""하루 한 포, 비타민C"" 레모나산 30일분 - 춘식이",9900,204
20260323,10607821,130,얼라이브,"""올인원 명품샷 2박스(총 14병)"" 고함량 비타민 얼라이브 고함량 이뮨샷 멀티비타민 맥스바이탈 2박스 총14병",9900,126
20260323,5602071,131,프레스샷,"""활력 비타민"" [활력 충전] 맛있는 액상 비타민 프레스샷(쇼핑백 무료 증정) 종합비타민 직장인 수험생 부모님 여친 남친 (프레스샷 증정 올인원 토탈 영양 앰플 멀티비타민 10일분)",21900,20000
20260323,10819188,132,종근당건강,[비타민 선물 추천] 아임비타 멀티비타민 이뮨샷 7입,16900,166
20260323,10733500,133,CJ웰케어,"""정성담은 활력선물"" [고함량 에너지] 블랙99 흑삼 아르기닌 & 타우린 1박스 (블루베리맛)",12500,9738
20260323,6409678,134,숙취해소제,"[술자리인싸템] ""센스있는 선물세트"" 숙취해소 히말라야 파티스마트 10개입 젤리 2박스+[오리지널 10개입 1박스+보드게임 츄루마불 증정]",25900,5395
20260323,3326270,135,고려은단,"""활력 비타민B"" 고려은단 메가도스B 60정 / 고함량 비타민B 컴플렉스",20000,1908
20260323,10908258,136,삼대오백,[*신규맛 입고*] 삼대오백 프리미엄 EAA 300g 헬스 보충제 단백질 컨디션 회복 운동,27900,2133
20260323,987524,137,순수식품,[전용쇼핑백] 6년근 홍삼정 에브리데이 스틱 1박스(30포),20900,4493
20260323,12463457,138,홀베리,"""행운가득 건강선물"" 쌩쌩 레몬비타C 1박스 (100포) 고함량 비타민C 분말스틱",10900,1999
20260323,12492528,139,원기담,"""액상형알부민"" 원기담 메가 알부민 맥스 30ml 15병(15일분 액상형 앰플)",25900,4018
20260323,7745813,140,설혜담,"""환절기 선물추천"" [파워 이뮨 증정] 설혜담 프로폴리스 담은 배도라지스틱 30포 / 호주 국산 배즙 하루한포 건강 부모님 직장인 선물",24900,7825
20260323,11794220,141,뉴케어,"""1등 완전균형영양식"" [스타벅스 쿠폰 4천원권] 뉴케어 클래식 구수한맛/검은깨맛 200ml 16입(1BOX) 2종 택1",32900,263
20260323,9610717,142,종근당,"""간건강 피로개선"" 밀크씨슬 이뮨 멀티비타민 1박스+젤리증정/ 액상 종합 비타민 직장인 면역 건강 선물",23800,4335
20260323,2941525,143,종근당건강,"""대한민국1등 유산균"" 종근당건강 락토핏 코어 선물세트 1박스(3개월분) /유산균은 역시 락토핏!",28900,2786
20260323,12659476,144,건강식품,가나디 비타민 젤리 2종 택1 + 스티커팩 2P 증정 (멀티비타민&미네랄/비타민B&C&에너지부스터),16900,1037
20260323,12659631,145,건강식품,[선물세트] 가나디 비타민 젤리 2종+스티커팩 4P+가나디 키링 증정 (멀티비타민&미네랄/비타민B&C&에너지부스터),32800,2420
20260323,5699173,146,GNM자연의품격,"""샤인머스켓맛 비타민"" [120구미/비타민젤리] GNM 행운충전 멀티비타민 구미 선물세트 총 2개월분",21900,9984
